"";"manuel";"freq"
"1";"1gwb";5
"2";"11abs5aagbg";1
"3";"133abs1umwg";1
"4";"133umwg";1
"5";"138abs3zpo";1
"6";"138abs4zpo";1
"7";"199abs3bgb";1
"8";"199bgb";1
"9";"2014eu104";1
"10";"204abs1bgb";2
"12";"204abs2bgb";1
"13";"246bgb";1
"14";"253abs2zpo";2
"15";"256abs1zpo";1
"16";"286abs2bgb";1
"17";"287zpo";2
"18";"288abs1bgb";1
"19";"288bgb";1
"20";"289bgb";1
"21";"291bgb";1
"22";"298stgb";5
"23";"304abs1zpo";1
"24";"307abs1bgb";1
"25";"307bgb";3
"26";"307ffbgb";1
"27";"309bgb";3
"28";"309abs5abgb";2
"29";"309abs5bbgb";1
"30";"309abs5bgb";2
"31";"310abs1bgb";1
"32";"33abs1gwbivm33abs3gwb";1
"33";"33abs3gwb";5
"36";"33abs4gwb";6
"37";"33abs5gwb";7
"40";"33gwb";8
"41";"33abs3gwbivm33abs1gwb";1
"44";"353hgb";2
"45";"7o11114";1
"46";"7o20614";1
"47";"823abs2bgb";1
"48";"840bgb";1
"49";"843abs4bgb";1
"50";"849bgb";3
"51";"lesinska2017article";1
"52";"169abs1egbgb";1
"53";"bgh23052012viizr21711";1
"54";"bgh28062011kzr7510";1
"55";"bghizb10914";1
"56";"bghizr18999";1
"57";"bghizr27700";1
"58";"bghiizr8713";1
"59";"bghks28062011kzr7510";1
"60";"bghnjw20073774";1
"61";"bghnjw20081084";1
"62";"bghnzkart201431";1
"63";"bghviizr1209";1
"64";"bghviizr28694";1
"65";"bghxizr4899";1
"66";"bghz190145";1
"67";"bghz67312319";1
"68";"bghz90278";1
"69";"eugnzkart2015396";1
"70";"bernhard2017article";1
"71";"kgbe2u1003kart";1
"72";"lgbe1612201416o38413kart";1
"73";"lgbe16o38413kart";2
"74";"lgbe16zk1612201416o38413kart";1
"75";"lgbe608201316o19311kart";1
"76";"lgdo13o5502kart";1
"77";"lgdu14do414";1
"78";"lgha18o25914";2
"79";"lgma040520127o43611";1
"80";"lgma7o43611";1
"81";"lgpo2o2914";1
"82";"schwab2019commentary";1
"83";"njw2006163";1
"84";"nzkart2013195";1
"85";"nzkart2014366";1
"86";"nzkart2016214";2
"87";"nzkart2016422";1
"88";"nzkart2016422ff";1
"89";"nzkart201688";1
"90";"olgceibr2012506";1
"91";"olgdr7u142113";1
"92";"olgka6u5112kart";2
"93";"olgkaks310720136u5112kart";1
"94";"olgmuu500611kart";1
"95";"rg01071889rgz24266";1
"96";"roth2018commentary";1
