"";"manuel";"freq"
"1";"1gwb";4
"2";"133abs1umwg";1
"3";"195bgb";1
"4";"199abs1bgb";2
"6";"199abs3bgb";2
"8";"204abs2bgb";1
"9";"246bgb";1
"10";"286abs2bgb";1
"11";"288abs1bgb";1
"12";"288abs2bgb";1
"13";"291bgb";1
"14";"298stgb";4
"15";"304zpo";2
"16";"31bgb";2
"17";"33abs3gwb";1
"18";"33abs4gwb";3
"19";"33abs5gwb";5
"21";"33gwb";6
"22";"840bgb";1
"23";"849bgb";4
"24";"bgh10072014ixzr19712";1
"25";"bgh16011991viiizr1490";2
"26";"bgh28062011kzr7510";1
"27";"bgh8zs16011991viiizr1490";1
"28";"bghgrur2012291";1
"29";"bghks28062011kzr7510";1
"30";"bghnjw20081084";1
"31";"bghnjwrr2008918";1
"32";"bghz190145";4
"33";"olgce1ks1408201813u10516kart";1
"34";"olgka310720136u5112kart";1
"35";"olgkaks310720136u5112kart";1
"36";"lgdo8zk280620178o2516kart";1
"37";"zoeller2013commentary";1
