"";"manuel";"freq"
"1";"1desdiskontsatzueberleitungsgesetzes";2
"2";"1gwb";6
"3";"133abs1umwg";1
"4";"138abs3bgb";1
"5";"138abs3zpo";2
"6";"138abs4zpo";2
"7";"16o38413kart";5
"8";"19gwb";1
"9";"199abs2bgb";2
"11";"199abs3bgb";1
"12";"2u1003kart";1
"13";"204abs2bgb";1
"14";"244abs3stpo";1
"15";"246bgb";1
"16";"253abs2zpo";1
"17";"254bgb";1
"18";"256abs1zpo";1
"19";"286abs1bgbivm291bgb";3
"21";"286abs2bgb";1
"22";"286zpo";1
"23";"287zpo";1
"24";"288abs1bgb";4
"25";"288abs1bgbivm291bgb";2
"28";"288abs2bgb";3
"29";"288bgb";1
"30";"289bgb";1
"31";"296azpo";5
"33";"298stgb";7
"34";"33abs1gwb";1
"35";"33abs3gwb";7
"37";"33abs3gwbivm33abs1gwb";2
"41";"33abs4gwb";2
"42";"33abs5gwb";6
"45";"33gwb";3
"46";"353hgb";2
"47";"6u18303";1
"48";"618abs3bgb";1
"49";"7o11114";1
"50";"709zpo";1
"51";"823abs2bgb";7
"52";"840bgb";2
"53";"844abs2bgb";1
"54";"849bgb";2
"55";"169abs1egbgb";1
"56";"c29504";2
"57";"c29804";2
"58";"c45399";1
"59";"erman2014commentary";1
"60";"grur2004883885";1
"61";"grur2010501";1
"62";"izb10914";1
"63";"izr18999";1
"64";"izr20911";1
"65";"izr27700";1
"66";"iizr8713";2
"67";"ixzr4392";4
"68";"kzr1281";1
"69";"kzr5811";2
"70";"kzr7510";3
"71";"njw201414791480";1
"72";"vzr38798";1
"73";"vzr4766";1
"74";"vizr10912";1
"75";"vizr8304";1
"76";"viizr1209";2
"77";"viizr14379";1
"78";"viiizr28178";1
"79";"viiizr395";1
"80";"voegnr12003";1
"81";"xizr26210";1
"82";"xizr4899";1
"83";"zoeller2016commentary";1
