"";"manuel";"freq"
"1";"1gwb";2
"2";"133abs1umwg";1
"3";"138abs3zpo";1
"4";"138abs4zpo";1
"5";"199abs3bgb";1
"6";"2014eu104";1
"7";"204abs2bgb";1
"8";"304abs1zpo";1
"9";"307bgb";3
"11";"309bgb";2
"12";"309abs5abgb";1
"13";"309abs5bbgb";1
"14";"309abs5bgb";2
"15";"310abs1bgb";1
"16";"33abs1gwbivm33abs3gwb";1
"17";"33abs4gwb";5
"18";"33abs5gwb";6
"21";"33gwb";8
"22";"33abs3gwb";1
"24";"33aabs1gwb";1
"25";"7o11114";1
"26";"7o20614";1
"27";"823abs2bgb";1
"28";"840bgb";1
"29";"849bgb";1
"30";"169abs1egbgb";1
"31";"bgh23052012viizr21711";1
"32";"bghnjw20073774";1
"33";"bghviizr1209";1
"34";"bghviizr28694";1
"35";"bghz190145";2
"36";"bghz67312319";1
"37";"bghz90278";1
"38";"kgbe2u1003kart";1
"39";"lgbe1612201416o38413kart";1
"40";"lgbe16o38413kart";2
"41";"lgbe608201316o19311kart";1
"42";"lgdo13o5502kart";1
"43";"lgdu14do414";1
"44";"lgha18o25914";1
"45";"lgma040520127o43611";1
"46";"lgma7o43611";1
"47";"lgpo2o2914";1
"48";"olgdu2zs29082018viukart1117";1
"49";"njw2006163";1
"50";"nzkart2013195";1
"51";"nzkart2014366";1
"52";"nzkart2016214";2
"53";"nzkart2016422";2
"55";"nzkart2016595";1
"56";"nzkart201688";1
"57";"nzkart201786";1
"58";"olgceibr2012506";1
"59";"olgdr7u142113";1
"60";"olgka6u5112kart";2
"61";"olgmuu500611kart";1
"62";"rg01071889rgz24266";1
"63";"wuw201798";1
