"";"manuel";"freq"
"1";"1bvr340908";1
"2";"1bvr92808";1
"3";"1gwb";2
"4";"21abs1gwb";1
"5";"287abs1zpo";1
"6";"32gwb";1
"7";"33abs1gwb";1
"8";"33abs3gwb";2
"10";"33abs4gwb";3
"11";"709zpo";1
"12";"bghks12072016kzr2514";1
