"LG_Stuttgart_41_O_100-13_KfH";"freq";"simple";"manuel";"comment"
"BGH 22071999 Az: KVR 1298";1;"bgh22071999az:kvr1298";"BGH 22071999 Az: KVR 1298";""
"BGH 22072014 KZR 2713";2;"bgh22072014kzr2713";"BGH 22072014 KZR 2713";""
"BGH 28062005 Az KVR 1704";1;"bgh28062005azkvr1704";"BGH 28062005 Az KVR 1704";""
"BGH 28062005 Az: KVR 1704";1;"bgh28062005az:kvr1704";"BGH 28062005 Az: KVR 1704";""
"BGH 28062011 KZR 7510";1;"bgh28062011kzr7510";"BGH 28062011 KZR 7510";""
"BGH 30032011 KZR 6910";1;"bgh30032011kzr6910";"BGH 30032011 KZR 6910";""
"BGH 5 02 2003 VIII ZR 11102";1;"bgh5022003viiizr11102";"BGH 5 02 2003 VIII ZR 11102";""
"BGHZ 154 5";1;"bghz1545";"BGHZ 154 5";""
"BGHZ 163 119 130";1;"bghz163119130";"BGHZ 163 119 130";""
"BGHZ 163 282";1;"bghz163282";"BGHZ 163 282";""
"BGHZ 164 336";2;"bghz164336";"BGHZ 164 336";""
"BGHZ 59 42";1;"bghz5942";"BGHZ 59 42";""
"BGHZ 68 23";1;"bghz6823";"BGHZ 68 23";""
"BGHZ 76 140";1;"bghz76140";"BGHZ 76 140";""
"BGHZ 76 142";1;"bghz76142";"BGHZ 76 142";""
"BVerfGE 74 78 95";1;"bverfge747895";"BVerfGE 74 78 95";""
"EnZR 3210";1;"enzr3210";"EnZR 3210";""
"EuGH 03121987 Rs 13686";1;"eugh03121987rs13686";"EuGH 03121987 Rs 13686";""
"EuGH 13072006 Az: C29504";1;"eugh13072006az:c29504";"EuGH 13072006 Az: C29504";""
"EuGH 20092001 Az: C45399";1;"eugh20092001az:c45399";"EuGH 20092001 Az: C45399";""
"KZR 1313";1;"kzr1313";"KZR 1313";""
"KZR 3604";1;"kzr3604";"KZR 3604";""
"KZR 7010";1;"kzr7010";"KZR 7010";""
"NJW 2001 2531";1;"njw20012531";"NJW 2001 2531";""
"OLG Duesseldorf 13082014 VI 2 U Kart 213";2;"olgduesseldorf13082014vi2ukart213";"OLG Duesseldorf 13082014 VI 2 U Kart 213";""
"OLG Duesseldorf 18032010 VI 2 U Kart 506";1;"olgduesseldorf18032010vi2ukart506";"OLG Duesseldorf 18032010 VI 2 U Kart 506";""
"OLG Duesseldorf NZKart 2015 202";1;"olgduesseldorfnzkart2015202";"OLG Duesseldorf NZKart 2015 202";""
"OLG Muenchen 17112005 Az: U K 332596";1;"olgmuenchen17112005az:uk332596";"OLG Muenchen 17112005 Az: U K 332596";""
"RdE 2012 63";1;"rde201263";"RdE 2012 63";""
"Verordnung EG Nr 12003";1;"verordnungegnr12003";"Verordnung EG Nr 12003";""
"ZIP 2010 1959";2;"zip20101959";"ZIP 2010 1959";""
